Occupation Title,ESCO Code,Description,Alternative Labels,Essential Skills (Skill),Essential Skills (Knowledge),Optional Skills (Skill),Optional Skills (Knowledge),
embedded systems security engineer,2529.3,"Embedded systems security engineers advise and implement solutions to control access to data and programs in embedded and connected systems. They help ensuring the safe operation of products with embedded systems and connected devices by being responsible for the protection and security of the related systems and design, plan and execute security measures accordingly. Embedded systems security engineers help to keep attackers at bay by implementing safeguards that prevent intrusions and breaches.","cybersecurity engineer, cyber security engineer, embedded systems security expert, internet of thing security engineer, IoT security engineer","analyse ICT system, create flowchart diagram, define security policies, define technical requirements, develop ICT device driver, develop software prototype, execute software tests, identify ICT security risks, identify ICT system weaknesses, interpret technical texts, keep up with the latest information systems solutions, manage IT security compliances, monitor system performance, perform ICT security testing, perform risk analysis, provide ICT consulting advice, report test findings, use software design patterns, use software libraries, utilise computer-aided software engineering tools","ICT network security risks, ICT security standards, Internet of Things, computer programming, cyber attack counter-measures, digital systems, embedded systems, information security strategy, safety engineering, security engineering, software anomalies","debug software, design user interface, develop creative ideas, integrate system components, perform project management","ICT encryption, ICT safety, cloud technologies, ethical hacking principles, organisational resilience",
data engineer,2511.2,"Data engineers develop the architecture needed to process, manage, and store large amounts of data which will be used by data scientists for analysis. They design the infrastructure and maintain data pipelines and warehouses to leverage data for strategic advantage."," data engineer expert, research data engineer","create data sets, design database in the cloud, develop data processing applications, establish data processes, implement data warehousing techniques, manage ICT data architecture, manage data, manage quantitative data, manage research data, perform dimensionality reduction, process data, store digital data and systems, use data processing techniques, use databases","cloud technologies, computer science, data analytics, data models, data storage, data warehouse, database management systems, digital data processing, unstructured data","analyse pipeline database information, create data models","SAS Data Management, Teradata Database, statistics",
blockchain developer,2512.4.1,"Blockchain developers implement or program blockchain-based software systems based on specifications and designs by using programming languages, tools, and blockchain platforms.","blockchain development engineer, blockchain engineer, decentralized ledger technology specialist, DLT engineer, DLT specialist","analyse decentralised applications, debug software, design process for blockchain-based systems, develop blockchain innovative architectures, evaluate blockchain architectures, explain blockchain implications, explain distributed ledger technologies principles, identify blockchain innovation opportunities, implement smart contracts, interpret technical requirements, outline blockchain-based identity management, recognise blockchain application areas, recognise blockchain risks, use software design patterns, use software libraries, utilise computer-aided software engineering tools","ICT debugging tools, blockchain, blockchain application areas, blockchain applications, blockchain applications security principles, blockchain architecture, blockchain components, blockchain consensus mechanisms, blockchain design patterns, blockchain history, blockchain mining principles, blockchain openness, blockchain platforms, blockchain terminology, blockchain-based business models, blockchain-based services regulation, computer programming, decentralised identifiers, decentralized application frameworks, digital identity management, distributed ledger technologies consensus protocols, distributed ledger technologies vulnerabilities, distributed ledger technology, game theory, smart contract, smart contract programming languages, software components libraries","adapt to changes in technological development plans, design user interface, implement front-end website design, use markup languages","Angular, C++, ICT encryption, Java (computer programming), JavaScript, Scala, Solidity, TypeScript, Vyper, cloud technologies, cryptocurrency, data analytics, service-oriented modelling",
cloud architect,2512.6,"Cloud architects are responsible for converting the technical features of a project into the architecture to lead to the final product. To develop technical cloud strategy, they have in-depth knowledge of the architectural principles and services, assisting with cloud migration efforts, review workload architectures, and provide guidance on how to address high-risk issues. They typically perform in a pre-sales capacity and are often asked to deliver proof-of-concept projects, topical workshops, and lead implementation projects. They team up with DevOps engineers to build the appropriate technologies.","aws cloud architect, cloud solutions consultant","collaborate with engineers, deploy cloud resource, design cloud architecture, design cloud networks, plan migration to cloud",cloud technologies,"automate cloud tasks, coordinate engineering teams, design database in the cloud, design for organisational complexity, develop with cloud services, do cloud refactoring","Agile development, Agile project management, DevOps, ICT architectural frameworks, cloud security and compliance",
cloud engineer,2512.1,"Cloud engineers are responsible for the design, planning, management and maintenance of cloud-based systems. They develop and implement cloud-applications, handle the migration of existing on-premise applications to the cloud, and debug cloud stacks.","hybrid cloud engineer, cloud infrastructure engineer, cloud software engineer, cloud computing engineer, cloud network engineer, cloud solution engineer, cloud security engineer, cloud architect, cloud devops engineer, cloud-native engineer, cloud developer","manage cloud data and storage, design cloud networks, align software with system architectures, develop with cloud services, solve ICT system problems, design database in the cloud, deploy cloud resource, provide technical documentation, do cloud refactoring, respond to incidents in cloud, manage keys for data protection, debug software, develop software prototype, analyse software specifications, design cloud architecture, interpret technical texts, automate cloud tasks, plan migration to cloud, design for organisational complexity, analyse business requirements","ICT system integration, ICT system programming, cloud technologies, cloud security and compliance, SaaS (service-oriented modelling), systems development life-cycle, computer programming, cyber security, systems theory, operating systems, cloud monitoring and reporting, database development tools, implement cloud security and compliance","perform data analysis, use query languages, apply ICT systems theory, design interaction model, apply risk management processes","ICT security standards, Java (computer programming), Ruby (computer programming), ethics, Python (computer programming)",
ICT change and configuration manager,2519.3,"ICT change and configuration managers organise and implement a process to manage changes throughout the lifecycle of ICT assets such as software, applications, ICT systems, etc. ICT change and configuration managers have a sound knowledge of the main technologies and processes used in system engineering and to manage the lifecycle of ICT systems and subsystems.","configuration manager, application lifecycle manager, devops specialist, software change and configuration manager, devops engineer","provide technical documentation, manage ICT virtualisation environments, administer ICT system, perform project management, build business relationships, deploy ICT systems, use scripting programming, integrate system components, manage software releases, train employees, manage changes in ICT system, develop automated migration methods","ICT process quality models, DevOps, ICT project management methodologies, project configuration management, tools for software configuration management","design cloud architecture, migrate existing data, apply change management, perform software unit testing, apply operations for an ITIL-based environment, perform software recovery testing, utilise computer-aided software engineering tools","control objectives for information and related technology, Apache Maven, STAF, embedded systems, Jenkins (tools for software configuration management), Vagrant, Chef (tools for software configuration management), Salt (tools for software configuration management), Puppet (tools for software configuration management), Codenvy, computer programming, Octopus Deploy, integrated development environment software",
IoT developer,2512.9,"IoT developers analyse and gather data for interpreting the pattern and predicting the result. They use artificial intelligence for managing the tasks and autonomous decisions, employing machine learning algorithms to create smarter devices through data sensors. IoT developers create software for connecting objects to systems and devices, or for programming these objects to make them function on their own.",IoT software developer,"analyse big data, design information system, develop ICT workflow, perform dimensionality reduction, use data processing techniques, utilise machine learning","ICT software specifications, ICT system programming, Internet of Things, algorithms, computer science, computer technology, digital data processing, hardware testing methods, machine learning, mechatronics, principles of artificial intelligence, task algorithmisation","establish data processes, perform online data analysis","ICT architectural frameworks, mobile device software frameworks",
cloud software developer,2512.8,"Cloud software developers create, deploy, and modernize software applications to run on the cloud using microservices, containers, and serverless technologies. They develop scalable and highly available applications using cloud architectures and best practices. They incorporate logging and monitoring into their code and are able to perform root cause analysis on failures.","cloud administrator, cloud and infrastructure specialist, cloud consultant, cloud deployment specialist, cloud infrastructure it specialist, cloud solutions specialist, cloud technical specialist, full stack cloud software engineer","automate cloud tasks, define software architecture, deploy cloud resource, design cloud architecture, design cloud networks, design database in the cloud, design for organisational complexity, develop with cloud services, implement cloud security and compliance, manage cloud data and storage","ICT system programming, Java (computer programming), JavaScript, cloud monitoring and reporting, cloud security and compliance, cloud technologies, computer engineering, decentralized application frameworks, integrated development environment software, software frameworks",monitor system performance,"ASP.NET, Eclipse (integrated development environment software), IBM WebSphere, JavaScript Framework, application usability, service-oriented modelling",
cloud identity manager,2514.5,Cloud identity managers work with identity access management's applications. Collaborate with senior management to address key risks in the identity governance. Plan strategies to comply with professional standards,"cloud identity access manager, cloud identity engineer,  cloud identity risk manager","adhere to organisational guidelines, automate cloud tasks, deploy cloud resource, design for organisational complexity, follow company standards, follow work procedures, implement cloud security and compliance, liaise with managers, maintain ICT identity management, manage cloud data and storage, manage digital identity, protect ICT devices","cloud security and compliance, cloud technologies, information governance compliance","design cloud architecture, design cloud networks, design database in the cloud, develop with cloud services, manage IT security compliances","DB2, cloud monitoring and reporting, information security strategy, internal risk management policy",
cloud DevOps engineer,2512.7,"Cloud DevOps engineers implement and manage continuous software delivery systems and methodologies. This includes managing and configuring code repositories, build services, automated testing, and deployment mechanisms. For cloud-based workloads, a Cloud DevOps Engineer define and deploy infrastructure as code, automating test and development environments. They can define and configure automated disaster recovery solutions that meet business objectives.","cloud automation engineer, cloud devops, cloud devops solution specialist, cloud infrastructure devops engineer, devops, devops administrator, devops analyst, devops architect, devops consultant, devops consultant engineer, devops engineer, devops specialist, site reliability devops engineer","automate cloud tasks, deploy cloud resource, design cloud architecture, design cloud networks, design database in the cloud, design for organisational complexity, develop with cloud services, do cloud refactoring, implement ICT recovery system, implement cloud security and compliance, manage cloud data and storage, manage disaster recovery plans, plan migration to cloud","DevOps, ICT system programming, JavaScript, Jenkins (tools for software configuration management), cloud monitoring and reporting, cloud security and compliance, cloud technologies, computer engineering, integrated development environment software, software frameworks, system backup best practice",None,"ASP.NET, Agile development, Eclipse (integrated development environment software), ICT project management methodologies, KDevelop, application usability",
blockchain architect,2511.14.1,"Blockchain architects are ICT system architects that are specialized in blockchain-based solutions. They design architecture, components, modules, interfaces, and data for a decentralized system to meet specified requirements.","DLT specialist, blockchain technology specialist, blockchain engineer, decentralized ledger technology specialist","define technical requirements, create business process models, define software architecture, analyse ICT system, interpret technical requirements, design information system","principles of distributed ledger technology, business processes, blockchain openness, blockchain platforms, smart contract, design thinking, systems development life-cycle, blockchain consensus mechanisms","develop software prototype, design cloud architecture, debug software","data analytics, cloud technologies, software components libraries, statistics, SaaS (service-oriented modelling), decentralized application frameworks, ICT encryption",None
